"","Hectare","Shift","Date","Anonymized.Sighter","Sighter.Observed.Weather.Data","Litter","Litter.Notes","Other.Animal.Sightings","Hectare.Conditions","Hectare.Conditions.Notes","Number.of.sighters","Number.of.Squirrels","Total.Time.of.Sighting","temperature_fahrenheit","temperature_celsius","sunny","rainy","cloudy","windy","drizzly","foggy","humid"
"34","03D","PM",10102018,241,"77º F, Sunny, humid","None","","Humans, Dogs, Birds","Busy","",1,14,31,77,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"35","03E","AM",10062018,28,"cloudy, slight drizzle","Some","","Humans, Dogs (off-leash)","Calm","",1,8,23,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"36","03E","PM",10082018,158,"65º F, overcast","","","Humans","Busy","",1,9,25,65,18.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"37","03F","AM",10062018,93,"66º F, overcast","None","","Humans, Birds","Calm","",1,14,46,66,18.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"38","03G","AM",10082018,114,"67º F, overcast","Some","","Humans, Dogs, Pigeons","Moderate","kinde (sic)",1,3,20,67,19.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"39","03G","PM",10132018,224,"57° F, Cloudy to Partly Cloudy, ""Crisp""","Some","","Humans, Dogs, Ducks, Cardinal, Small birds, Robin","Busy","",1,3,39,57,13.9,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"40","03H","AM",10082018,114,"67º F, overcast","","","Humans, Dogs, Pigeons","Calm","",1,6,23,67,19.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"41","03I","PM",10132018,27,"56° F, Partly Cloudy","Some","","Humans, Pigeons","Busy","",1,8,25,56,13.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"42","03I","AM",10102018,123,"74º F, Partly cloudy, minimal wind","None","","Humans, Dogs, Pigeons","Busy","",1,5,20,74,23.3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"43","04A","AM",10072018,110,"70º F, Foggy","None","","Humans, Dogs, Birds, but not pigeons","Calm","",1,5,22,70,21.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"44","04A","PM",10072018,231,"80º F, Cloudy. Humid","Some","","Humans, Dogs","Busy","",1,6,20,80,26.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"45","04B","PM",10182018,109,"48º F, Sun","None","","Humans, Dogs","Busy","",1,5,NA,48,8.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"46","04B","AM",10102018,167,"70º F Partly cloudy","Abundant","","Humans, Dogs","Busy","",1,6,25,70,21.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"47","04C","PM",10102018,217,"77º F, Mostly sunny, humid","None","","Humans, Dogs, Sparrows","Busy","",1,17,20,77,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"48","04D","AM",10122018,11,"60º F, partly cloudy","None","","Humans, Dogs, Blue Jays","Busy","",1,4,25,60,15.6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"49","04D","PM",10082018,134,"65º F, overcast","Some","","Humans","Calm","",1,14,65,65,18.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"50","04E","AM",10202018,145,"55º F, Cloudy","None","","Humans, Dogs, Small birds, Dogs","Busy","",1,4,24,55,12.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"51","04E","PM",10082018,158,"65º F, overcast","None","","","","",1,8,29,65,18.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"52","04F","AM",10072018,8,"71º F, Coudy. Misty. Rain.","Some","","Humans, Dogs","Calm","",1,0,23,71,21.7,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"53","04G","PM",10072018,133,"77º F, Sunny","Some","","Humans","Busy","",1,1,36,77,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"54","04H","PM",10062018,134,"65º F, Very Overcast","None","","Humans","Busy","",1,2,31,65,18.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"55","04H","AM",10062018,168,"64º F, overcast","Some","","Humans, Dogs, Birds, Song birds and Crows","Busy","",1,4,45,64,17.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"56","04I","AM",10062018,34,"65º F, overcast, misty","Some","","Humans, Dogs, Pigeons, Rat","Busy","",1,3,42,65,18.3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"57","04I","PM",10072018,134,"77º F, Sunny","Some","","Humans","Busy","",1,3,31,77,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"58","05A","AM",10062018,61,"64º F","None","","Humans, Dogs","Busy","",1,5,50,64,17.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"59","05A","PM",10102018,241,"77º F, Mostly Sun, humid","","","Humans, Dogs, Birds","Calm","",1,4,23,77,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"60","05B","AM",10082018,163,"66º F, overcast","Some","","Humans, Dogs","Busy","",1,4,26,66,18.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"61","05B","PM",10132018,241,"55° F, Partly Cloudy","None","","Humans, Dogs, Birds","Busy","",1,6,25,55,12.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"62","05C","AM",10062018,169,"64º F, cloudy, light rain","Some","","Humans, Dogs, Sparrows, Starlings, American robins","Calm","",1,7,25,64,17.8,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"63","05C","PM",10102018,217,"77º F, Mostly sunny","None","","Humans, Dogs","Busy","",1,13,20,77,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"64","05D","PM",10182018,109,"48º F, Sunny","None","","Humans, Dogs, Sparrows, Robin","Moderate","",1,7,20,48,8.9,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"65","05D","AM",10202018,145,"55º F, Cloudy","None","","Humans, Dogs, Other birds","Calm","",1,4,23,55,12.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"66","05E","PM",10122018,134,"61º F, sunny","","","Humans","Busy","",1,6,44,61,16.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"67","05E","AM",10082018,163,"66º F, overcast, misty","Some","","Humans, Hawks, Dogs","Busy","",1,10,34,66,18.9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"68","05F","AM",10072018,17,"71º F, Cloudy","Some","","Humans, Dogs, Pigeons","Busy","",1,6,25,71,21.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"69","05F","PM",10072018,119,"80º F, Humid. Cloudy.","None","","Humans, Dogs, Pigeons, Tourists","Busy","",1,6,22,80,26.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"70","05G","PM",10102018,151,"77º F Sunny humid","","","Dogs","Busy","",1,5,20,77,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"71","05G","AM",10062018,230,"64º F, cloudy, misty","","","Humans, little Birds","Busy","",1,1,20,64,17.8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"72","05H","AM",10072018,17,"70º F, Cloudy","None","","Humans, Dogs","Calm","",1,1,25,70,21.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"73","05H","PM",10062018,196,"67º F, Cloudy, misting","Abundant","","Humans","Busy","",1,0,30,67,19.4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"74","05I","AM",10102018,60,"74º F","None","","Humans, Dogs","Busy","",1,6,20,74,23.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"75","05I","PM",10082018,96,"65º F, dark and damp, drizzling","None","","Humans, Dogs, Pigeons","Calm","",1,2,25,65,18.3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"76","06A","PM",10122018,115,"sunny, chilly","Some","","Humans, Dogs, Birds","Busy","",1,7,25,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"77","06A","AM",10062018,211,"65º F, gray, misting","Some","","Humans, Dogs","Calm","",1,8,20,65,18.3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"78","06B","PM",10172018,241,"61º F, mostly cloudy","None","","Humans, Dogs, Birds","Busy","",1,7,25,61,16.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"79","06B","AM",10122018,261,"58º F, partly sunny, breezy","None","","Humans (Bikers, Runners), Dogs, Small birds","Busy","",1,2,22,58,14.4,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"80","06C","AM",10072018,34,"68º F, Overcast. Humid.","None","","Humans, Dogs","Busy","T/V busy with cars. Lots on dogs in ball fields.",1,8,25,68,20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"81","06C","PM",10202018,150,"65º F","","","","","",1,4,25,65,18.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"82","06D","PM",10202018,150,"65º F","Some","","Humans, Dogs","Busy","",1,6,25,65,18.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"83","06D","AM",10082018,250,"66º F, cloudy","Some","","Humans, Dogs","Calm","",1,4,21,66,18.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"84","06E","PM",10102018,195,"77º F, Mostly sunny (humid) but lovely","","","Humans","Busy","",1,5,22,77,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"85","06F","PM",10082018,114,"65º F, drizzly","","","Humans, Dogs","Busy","",1,6,23,65,18.3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"86","06F","AM",10062018,263,"18º C, Cloudy","Abundant","","Humans, Dogs","Busy","",1,1,26,18,-7.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"87","06G","PM",10202018,242,"61º F, Sunny. Sun starting to go down","Some","","Humans, Horses, Birds","Busy","",1,4,24,61,16.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"88","06H","AM",10082018,6,"66º F, overcast, damp","","","Humans, Dogs","","",1,2,30,66,18.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"89","06H","PM",10202018,242,"63º F, Perfect","None","","Humans, Birds, Cardinal","Calm","",1,3,25,63,17.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"90","06I","AM",10062018,17,"65º F, cloudy","","","","","",1,1,23,65,18.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"91","06I","PM",10132018,256,"57° F, Cloudy","Some","","Humans, Dogs, Pigeons","Busy","",1,7,26,57,13.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"92","07A","PM",10072018,182,"79º F, Cloudy","","","Humans, Dogs","Calm","",1,2,22,79,26.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"93","07A","AM",10062018,227,"67º F, light drizzle","Some","","Humans, Dogs, Robins (Birds)","Busy","",1,3,29,67,19.4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"94","07B","AM",10082018,60,"67º F, misty","None","","Humans, Dogs, Pigeons","Busy","",1,15,30,67,19.4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"95","07B","PM",10062018,118,"Misty","Some","","Humans, Dogs","Busy","",1,1,22,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"96","07C","AM",10122018,261,"58º F, partly cloudy, breezy","None","","Humans (Very Few)","Calm","Sheep Meadow Closed!",1,3,20,58,14.4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"97","07D","PM",10102018,115,"77º F, Humid, sunny","Some","","Humans","Busy","",1,1,25,77,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"98","07D","AM",10062018,117,"60s, cloudy, threatening to rain, misty","None","","Humans, Dogs","Calm","",1,0,30,60,15.6,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"99","07E","AM",10062018,118,"64º F, Cloudy","","","Humans, Dogs, Pigeons","Calm","",1,6,26,64,17.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"100","07F","PM",10122018,131,"60º F, sunny","None","","Humans, Dogs, Small birds","Calm","",1,3,25,60,15.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"101","07G","AM",10102018,67,"Muggy, cloudy, slightly damp","None","","Humans, Dogs, Birds, Blue jays","Busy","",1,9,25,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"102","07G","PM",10182018,242,"52º F, Sunny","","","Humans","Busy","",1,7,20,52,11.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"103","07H","PM",10062018,227228,"68º F, drizzle","None","","Humans, Sparrow","","",1,10,25,68,20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"104","07I","AM",10122018,44,"59º F, sunny, very windy","Some","","Humans, Dogs, Pigeons, Small birds","Busy","Construction",1,0,25,59,15,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"105","07I","PM",10132018,256,"","","","","","",1,8,33,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"106","08A","PM",10142018,103,"58º F, cloudy, cool & crisp","None","","Humans, Dogs, Pigeons, Mice, Sparrows","Busy","",1,3,25,58,14.4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"107","08B","PM",10122018,115,"chilly, sunny","Some","","Humans","Busy","",1,9,35,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"108","08C","AM",10072018,34,"68º F, Overcast. Humid.","None","","Humans, Dogs","Calm","Humans quietly walking polite dogs. dog run.",1,2,20,68,20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"109","08D","PM",10072018,182,"80º F, Sunny","Some","","Humans, Dogs","Busy","",1,4,22,80,26.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"110","08D","AM",10072018,224,"71º F, Overcast. Misty","None","","Humans, Dogs, Pigeons","Calm","Very calm, except you can hear machinery",1,8,26,71,21.7,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"111","08E","AM",10132018,78,"46º F, rain","None","","Humans, Dogs","Calm","",1,2,20,46,7.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"112","08E","PM",10082018,96,"cloudy, drizzling","None","","Humans, Dogs","Busy","",1,8,25,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"113","08F","PM",10122018,131,"60º F, sunny","Some","","Humans, Dogs","Calm","",1,8,25,60,15.6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"114","08F","AM",10142018,145,"52º F, Partly Cloudy, Mostly Sunny","None","","Humans, Dogs, Owls, Small birds","Busy","Concert at Naumburg Bandshell",1,0,23,52,11.1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"115","08G","AM",10122018,44,"","","","Humans","Calm","",1,0,23,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"116","08G","PM",10172018,242,"61º F, Sunny, Breezy","","","Humans, Dogs, Horses, Birds","Busy","",1,2,20,61,16.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"117","08H","PM",10142018,138,"57º F, Cloudy","Some","","Dogs, Pigeons, Small birds","Calm","",1,9,25,57,13.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"118","08H","AM",10172018,163,"50º F, clear, windy","None","","Humans, Dogs","Busy","",1,6,26,50,10,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"119","08I","PM",10132018,134,"56° F, Partly Cloudy","Some","","Humans, Dogs, Wood Thrush","Calm","",1,9,64,56,13.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"120","08I","AM",10062018,237,"77º F, cloudy","Some","","Humans, Dogs","Busy","",1,12,27,77,25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"121","09A","PM",10102018,195,"77º F (humid) but lovely","None","","Humans, Dogs, Pigeons","Busy","Doggie play area",1,4,22,77,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"122","09B","AM",10102018,211,"70º F","","","Blue jay","Busy","",1,9,30,70,21.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"123","09C","AM",10062018,196,"68º F, cloudy","Some","","Humans, Dogs, Birds","Busy","",1,3,20,68,20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"124","09C","PM",10062018,230,"65º F, Mostly Cloudy","Some","","Humans, Dogs, Birds","","",1,7,20,65,18.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"125","09D","PM",10082018,55,"drizzling","Some","","Humans, Dogs","Calm","",1,0,10,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"126","09D","AM",10082018,60,"66º F, overcast, misty","Some","","Humans, Dogs, Birds","Busy","",1,4,20,66,18.9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"127","09E","AM",10082018,6,"overcast, damp","","","Humans, Dogs","Busy","",1,4,20,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"128","09E","PM",10142018,101,"57º F, cloudy","None","","Humans, Hawks, Dogs, Small birds","Busy","",1,3,30,57,13.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"129","09F","AM",10132018,78,"46º F, rain","None","","Humans, Dogs","Busy","",1,4,20,46,7.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"130","09F","PM",10142018,138,"57º F, crisp & mostly cloudy","Some","","Humans, Dogs, dogs off-leash :( , Birds","Calm","But loud music at edge",1,8,23,57,13.9,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"131","09G","PM",10072018,96,"81º F, Cloudy","Some","","Humans, Dogs, Pigeons","Busy","",1,6,34,81,27.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"132","09G","AM",10072018,97,"70º F, Humid. Cloudy.","Some","","Humans, Dogs, Horse drawn carriage. Woodpecker","Busy","",1,4,25,70,21.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"133","09H","PM",10182018,242,"52º F, Sunny","","","Humans, Dogs","Busy","",1,9,21,52,11.1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"134","09I","PM",10102018,114,"77º F, Mostly sunny","","","Humans, Dogs","Busy","",1,7,24,77,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"135","10A","AM",10062018,8,"65º F, cloudy, light drizzle","None","","Humans, Dogs, Red Robins","Busy","",1,4,24,65,18.3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"136","10A","PM",10142018,101,"57º F, cloudy","","","Humans, Dogs, Pigeons, Small birds, Rat, Mice","","",1,4,25,57,13.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"137","10B","PM",10142018,103,"58º F, overcast cool & crisp","None","","Humans, Dogs, Pigeons, Tiny birds on trees","Busy","",1,5,25,58,14.4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"138","10C","AM",10182018,242,"43º F, Sunny, Breezy","Some","","Humans, Dogs","Calm","",1,4,22,43,6.1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"139","10D","PM",10082018,55,"65º F, overcast","Some","","Humans, Dogs","Busy","",1,1,18,65,18.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"140","10D","AM",10082018,250,"66º F, cloudy","Some","","Humans","Busy","",1,5,21,66,18.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"141","10E","AM",10102018,211,"71º F, Cloudy, humid","Some","","Humans, Dogs","Busy","",1,2,25,71,21.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"142","10E","PM",10072018,224,"79º F, Partly Cloudy","Some","","Humans","Busy","",1,1,24,79,26.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"143","10F","AM",10072018,97,"71º F, Humid. Cloudy.","None","","Humans, Dogs, Pigeons, Chickadees, Tour groups","Busy","",1,3,25,71,21.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"144","10F","PM",10192018,221,"58º F, Partly, Cloudy","Some","","Humans, Dogs, Pigeons","Busy","CRAZY BUSY",1,12,30,58,14.4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
